direccion_,distrito,codigo_postal,pais
"Paseo Javiera Pallarès 18, Valencia, 04025",Toledo,17684,Niger
"Cañada Aurelio Salgado 375, Baleares, 39884",Vizcaya,02852,Finlandia
"Via Heraclio Álamo 42 Apt. 17 , Córdoba, 34967",Badajoz,46492,Guinea Bissau
"Cuesta de Esther Llamas 37 Apt. 09 , Almería, 42657",Ourense,02845,Mauritania
"Pasadizo Tomás Padilla 4 Piso 1 , Las Palmas, 27323",Burgos,20321,Egipto
"Rambla Nazario Pujol 4, Albacete, 38157",Guipúzcoa,15094,Filipinas
"Via de Renata Carreño 26, Vizcaya, 31565",Zaragoza,22187,Hungría
"Vial de José Ángel Meléndez 78, Ourense, 12581",Cáceres,02230,Georgia
"Plaza Reinaldo Barros 7, Guipúzcoa, 36964",Ceuta,06719,Belice
"C. de Quique Guerra 11, Palencia, 07830",Granada,49585,Bahamas
"Acceso Rosalía Calatayud 605 Piso 8 , Palencia, 50670",Ceuta,30503,Guinea
"Rambla Apolonia Guzman 971 Piso 4 , Valladolid, 24005",Soria,10009,Líbano
"C. de Carlito Nicolau 274 Puerta 2 , Murcia, 25750",Córdoba,06677,Tuvalu
"Pasaje de Abel Roldán 89, Ciudad, 45786",Sevilla,19335,Argelia
"Calle de Iván Perales 92 Puerta 5 , Soria, 51813",León,04567,Yemen
"Pasadizo Domingo Rozas 69, Ceuta, 08156",Valladolid,48857,Chad
"Plaza Tecla Barbero 21, Ourense, 47894",Ceuta,04661,Túnez
"Calle de Rosario Torrijos 65, Almería, 09149",Almería,44234,Rumania
"Callejón de Sancho Bou 515, Pontevedra, 21513",Baleares,08514,Singapur
"Callejón de María Del Carmen Castillo 99, Vizcaya, 05439",Guadalajara,34197,Tuvalu
"Avenida Carmelita Agullo 152, Pontevedra, 20051",Almería,11780,México
"Vial Josefa Manjón 14, Albacete, 07590",Badajoz,24962,Ghana
"Avenida Concha Burgos 11, Salamanca, 26332",La Coruña,40782,Iraq
"Acceso de Tania Cortes 918, Álava, 44926",Guipúzcoa,29207,República Democrática Popular Lao
"Pasaje de Carla Avilés 160 Piso 5 , Zamora, 28545",La Rioja,06737,Vanuatu
"Callejón Malena Ribera 60, Valladolid, 02610",Madrid,48937,Bahrein
"Glorieta Yaiza Alcántara 9, Cáceres, 23081",Baleares,26607,República Democrática del Congo
"Avenida de Abilio Acuña 6 Puerta 0 , Melilla, 31149",Albacete,40323,Kirguistán
"Cañada Carmelo Marco 956, Lugo, 10837",Guipúzcoa,14103,República Democrática del Congo
"Callejón María Manuela Padilla 433 Piso 8 , Cuenca, 16518",Melilla,01074,Brasil
"Avenida María Fernanda Bernal 45, Cuenca, 26146",León,08786,Federación de Rusia
"Cuesta de Vasco Palacio 68, Salamanca, 38861",Valencia,10422,Togo
"Urbanización de Tadeo Carlos 859 Puerta 5 , Huesca, 12833",Alicante,06281,Santo Tomé y Príncipe
"Glorieta de Victoriano Baena 66 Puerta 0 , Ceuta, 31939",Ciudad,23079,República de Corea
"Paseo Lilia Marquez 639 Puerta 4 , Madrid, 05844",Guadalajara,37336,Georgia
"Avenida de Angelita Perea 83 Apt. 30 , Jaén, 51257",Girona,13889,Seychelles
"Cañada de Renato Pacheco 36, Cantabria, 11168",La Coruña,41799,Ucrania
"Alameda de Celestino Agudo 42, Badajoz, 09979",Badajoz,34088,Sri Lanka
"Pasaje Cruz Porta 640 Apt. 77 , Asturias, 08211",Santa Cruz de Tenerife,27315,Sudán del Sur
"Pasadizo Yésica Roldán 5 Apt. 62 , León, 27428",Santa Cruz de Tenerife,26805,Micronesia
"Glorieta Pelayo Ibarra 18, León, 27720",Cantabria,30670,Liberia
"Glorieta Natalio Yuste 42 Piso 3 , Segovia, 29176",Almería,42222,Cuba
"Pasaje de Corona Hervia 62 Apt. 52 , Girona, 40289",Badajoz,26483,Nicaragua
"Urbanización de Luciano Vendrell 82, Barcelona, 49488",Albacete,24435,Eslovaquia
"Acceso Florentina Mosquera 7, Huesca, 19448",Cáceres,32512,Vietman
"Calle de Tristán Landa 48 Piso 7 , Soria, 07997",Toledo,06500,Ucrania
"Plaza de Felicia Ochoa 247 Puerta 7 , Guipúzcoa, 38385",Badajoz,43679,Myanmar
"Paseo de Sebastian Juan 51, Guadalajara, 05315",Madrid,19990,Bangladesh
"Camino Mariana Bustos 7 Piso 8 , La Rioja, 27104",Valencia,37814,Bosnia y Herzegovina
"Acceso de Jessica Bru 94 Puerta 1 , Granada, 01627",Soria,33673,Malasia
"Urbanización Gabriela Solé 27, Salamanca, 35848",Pontevedra,37899,Indonesia
"Vial de Trinidad Costa 4, Murcia, 12961",Palencia,30188,Bolivia
"Cuesta de Melchor Porras 8, Cáceres, 11352",Albacete,32050,Dinamarca
"Pasaje Víctor Guardia 77, Baleares, 27744",Lugo,05107,Granada
"Rambla Vera Valcárcel 8 Piso 2 , Cáceres, 14846",Guipúzcoa,45433,Belice
"Avenida Florentina Uribe 86, Granada, 20943",Guadalajara,42407,Paraguay
"Vial de Camilo Galindo 477 Apt. 48 , Málaga, 07360",La Coruña,04376,Canadá
"Calle Venceslás Salinas 13, Guipúzcoa, 50856",León,06894,Vietman
