id,name,mail,telefono,usrdir,rol,password,fecha_creacion
1,Camilo Pallarès Valdés,yago36@example.org,+34 926289074,"Paseo Javiera Pallarès 18, Valencia, 04025",cliente,3a6defa2fb70f1cae965a7311190a93c38f483ea26ad0e00b189d330bbc51618,2024-05-18
2,Porfirio Mora Aguilar,cabochema@example.org,+34 915 88 91 86,"Cañada Aurelio Salgado 375, Baleares, 39884",admin,247a7beb8671447eb86d9027314b3d9e05a355e06bdceb5785260120dcbb7f65,2024-08-15
3,José María Casas Lastra,cuestatono@example.net,+34723969524,"Via Heraclio Álamo 42 Apt. 17 , Córdoba, 34967",editor,629de1e222778270c15469c5cca79766641b0664e6314cc353c1916eab01305b,2025-01-27
4,Celia Franch Mármol,martin93@example.net,+34825 610 872,"Cuesta de Esther Llamas 37 Apt. 09 , Almería, 42657",editor,c9090ee59483cc974bce64660e95ee9cc2c82fdb27da74605ff698101c98135b,2023-11-26
5,Federico Company Espejo,millanaugusto@example.org,+34 969 309 224,"Pasadizo Tomás Padilla 4 Piso 1 , Las Palmas, 27323",admin,b35fc884540467b16a87820df91f2944d609162454ec74808737056f6e82edb1,2023-08-22
6,Isaac Bejarano Ayuso,carmelo26@example.com,+34806 874 855,"Rambla Nazario Pujol 4, Albacete, 38157",cliente,3bdb571f637983f36f081421b67b8d0e5b56d1aa066db82f45271ab0e91d864a,2023-09-09
7,Cipriano Alba,ufiguerola@example.net,+34883 90 11 30,"Via de Renata Carreño 26, Vizcaya, 31565",editor,9022922b76dd7bca7685aa04d3a69ac8ae62e3f8b61b8f89e05dd96c7413c78f,2023-06-12
8,Jerónimo de Otero,rosario82@example.com,+34 918 08 59 10,"Vial de José Ángel Meléndez 78, Ourense, 12581",admin,0e5864b3741aa6e05016261c95c80627b0d0f2f8112123999ac97fce4f5bfd3b,2024-11-10
9,Herminio Molins Castillo,abrilribera@example.com,+34 858757843,"Plaza Reinaldo Barros 7, Guipúzcoa, 36964",editor,4d16a1ec9a0aee033a0415a16fe65ce582e67f0ecc049bb792fff1370e5fe16e,2024-01-24
10,Amaya del Rosa,rufinalosada@example.net,+34884216525,"C. de Quique Guerra 11, Palencia, 07830",cliente,c5ce6bb6670ac01e025b93d4a4f27edd89274b9ccd8c8a6352a9fc416791e6a6,2024-06-03
11,Juan Francisco de Arnal,jacoboguillen@example.net,+34881 26 01 70,"Acceso Rosalía Calatayud 605 Piso 8 , Palencia, 50670",admin,0ec11354016798cde7839264a42587bfbc5fd380e4b697ceb084688a51ab0c80,2024-03-22
12,Loreto Leon,dpizarro@example.net,+34945 83 29 66,"Rambla Apolonia Guzman 971 Piso 4 , Valladolid, 24005",cliente,a02d4f2cf702c3631390fb575793cd7890207f223d57ac27e8f15b83bcd8817a,2024-02-13
13,Marcela Paniagua,cuestanico@example.com,+34 874438171,"C. de Carlito Nicolau 274 Puerta 2 , Murcia, 25750",cliente,81e5a7a168abd60ce6b751a3dc4544cd6a991aeea650e2ce994091f39f163419,2025-05-03
14,Roldán Pavón Solana,leonor10@example.com,+34 976 93 65 59,"Pasaje de Abel Roldán 89, Ciudad, 45786",editor,f048906d945025f80fd6e93467bb9157c3888c05b2dec99b62746f3ee2e83f6f,2024-02-25
15,Matías Núñez Pedro,amayaasuncion@example.org,+34 660 56 43 54,"Calle de Iván Perales 92 Puerta 5 , Soria, 51813",editor,fb56d9d0442d248d4775bb6f7421bf711e41ae21f111aa0ee1f9a5ee41a1fbb7,2023-10-30
16,Nazario de Pozuelo,fsalmeron@example.net,+34888527013,"Pasadizo Domingo Rozas 69, Ceuta, 08156",admin,05989f361ab8bc1a51993eb9745482deec5d973886d849e17bcb6913fd3a5704,2023-09-26
17,Eva Villanueva-Bartolomé,felisa67@example.net,+34973037877,"Plaza Tecla Barbero 21, Ourense, 47894",cliente,4493e4cef7a502c0b671bd772bef4392a9be7606a295b74d8ee2e1df1f984e01,2024-05-10
18,Hector René Hierro Lluch,vicenta17@example.org,+34737495537,"Calle de Rosario Torrijos 65, Almería, 09149",admin,60f257a473755cb447b5534c4952d5f98352682e501117a66acfe851909b775e,2023-05-21
19,Ximena Pareja Baños,reyesroura@example.net,+34 920 277 539,"Callejón de Sancho Bou 515, Pontevedra, 21513",editor,e175ecf338d7801f592af5a1bfdc4b67e08468b59f19260cd6d7108c9cf83668,2025-03-30
20,Rosenda Rey Cabello,cmateu@example.org,+34 988 588 320,"Callejón de María Del Carmen Castillo 99, Vizcaya, 05439",cliente,d6503e32f92b325e4407e8d8698b33edbeaf976164beb9c977484a1aa5c4ca26,2024-02-09
21,Juan Luis Raúl Almansa Valdés,pacificaalamo@example.com,+34 973 670 199,"Avenida Carmelita Agullo 152, Pontevedra, 20051",admin,543bd7e73898dd354987ccd2fe41a941ea46f3c52385b29bbba2ae11479fd608,2024-10-22
22,Roxana Martin,baltasar51@example.com,+34 976 72 71 37,"Vial Josefa Manjón 14, Albacete, 07590",cliente,63e888cdffe139bb8c6f5e80bc617d202f110da1a0efda0e017030a5e0f57441,2024-02-02
23,Yago Tejera Ferrán,florencia22@example.net,+34971 60 20 96,"Avenida Concha Burgos 11, Salamanca, 26332",admin,f787785d580aae51a26defe561cc6b84f98d09bc1c0e80c9609900f957e60825,2023-07-13
24,Jesús Roca Bru,tneira@example.net,+34 834 096 883,"Acceso de Tania Cortes 918, Álava, 44926",admin,3ed61ef03a70e311f5412e21cfee866da6385c41bca46ce1609ecee89472210e,2024-07-30
25,Virgilio Canales Torres,olegariomesa@example.org,+34982 321 129,"Pasaje de Carla Avilés 160 Piso 5 , Zamora, 28545",admin,fbe8e6a0c4e8f5076945edd613397b5452577faf02c8e3c159d4b93accccca22,2024-05-17
26,Toño Cuervo Morcillo,uvara@example.com,+34 976 58 96 14,"Callejón Malena Ribera 60, Valladolid, 02610",editor,d8aa80bd5e6aa3936c0aad80d9fcdc561b6fb680e6102bebc72cc2793ff64407,2025-02-10
27,Regina Arcos Anaya,uquintana@example.org,+34 983722633,"Glorieta Yaiza Alcántara 9, Cáceres, 23081",admin,a0e473859ecfc619869a2e86d46a37fbba12a3db0f1f847324a122f3423ebc21,2024-10-07
28,Francisco Jose de Huertas,fernandezbasilio@example.org,+34924435800,"Avenida de Abilio Acuña 6 Puerta 0 , Melilla, 31149",admin,b91c38f35a29e8ef782defeb301863a282a94ebd9dd7b7788a7deaca2bd5cddf,2023-11-27
29,Juan Pascual Lopez,valcarcelanita@example.org,+34 988861983,"Cañada Carmelo Marco 956, Lugo, 10837",admin,8352cfa1843e65c2fec41f6a65294c251c94876d53fcf53ed728f8efe5643a0b,2023-11-21
30,Salomón Alberto Amaya Peláez,florelisa@example.net,+34923 16 58 26,"Callejón María Manuela Padilla 433 Piso 8 , Cuenca, 16518",editor,fbbff338490813b1514d176af6e2baab0896587a09d29a92e103c42d64d1ec5c,2024-05-29
31,Marco Santiago Menendez,brigidapulido@example.net,+34 842333923,"Avenida María Fernanda Bernal 45, Cuenca, 26146",editor,29ede68433ee2d8144a2a01ded5a92775a07cca90ffbcf5600b75f152c71500c,2024-03-10
32,Fabián Porcel Niño,fsobrino@example.com,+34984 58 75 40,"Cuesta de Vasco Palacio 68, Salamanca, 38861",editor,cb03faa780a94d8fe304771c5868bbfb376e05226220102516c165127f38ebee,2024-08-15
